critic,fresh,imdb,publication,quote,review_date,rtid,title
Jay Boyar,fresh,0113277,Orlando Sentinel,"There isn't much going on at this party other than what the actors bring to it. But fortunately, Mann has invited some exceptional ones.",2014-04-29,13098,Heat
John Hartl,fresh,0113277,Seattle Times,Heat becomes consistently more interesting as it forges on toward the 180-minute mark.,2014-04-29,13098,Heat
Todd McCarthy,fresh,0113277,Variety,Heat occupies an exalted position among the countless contemporary crime films.,2008-10-16,13098,Heat
Peter Travers,fresh,0113277,Rolling Stone,Robert De Niro's last great role before he devoted himself to self-parody.,2007-08-14,13098,Heat
Geoff Andrew,fresh,0113277,Time Out,"This is simply the best American crime movie -- and indeed, one of the finest movies, period -- in over a decade.",2006-02-09,13098,Heat
Janet Maslin,rotten,0113277,New York Times,"As Heat progresses, its sensational looks pale beside storytelling weaknesses that expose the more soulless aspects of this cat-and-mouse crime tale.",2003-05-20,13098,Heat
Kenneth Turan,fresh,0113277,Los Angeles Times,"Michael Mann and a superlative cast have taken a classic heist movie rife with familiar genre elements and turned it into a sleek, accomplished piece of work, meticulously controlled and completely involving.",2001-02-13,13098,Heat
Andrew Ross,rotten,0113277,Salon.com,"All the squealing tires, flying bullets and falling bodies cannot save Heat from drowning in its own banalities.",2000-01-01,13098,Heat
Roger Ebert,fresh,0113277,Chicago Sun-Times,Michael Mann's writing and direction elevate this material. It's not just an action picture.,2000-01-01,13098,Heat
James Berardinelli,rotten,0113277,ReelViews,... a colossal disappointment.,2000-01-01,13098,Heat
Sean Means,fresh,0113277,Film.com,Heat generates lots of energy but gives off little light.,2000-01-01,13098,Heat
Susan Stark,fresh,0113277,Detroit News,Boosters and touts use the term 'major movie' so often that it's more likely to generate yawns than excitement at this point. Back to basics. Heat is a major movie. With major stars. Doing major acting.,2000-01-01,13098,Heat
Edward Guthmann,fresh,0113277,San Francisco Chronicle,"This is the first time De Niro and Pacino have acted together, and each gives a strong, watertight performance.",2000-01-01,13098,Heat
Andy Spletzer,fresh,0113277,Film.com,The cop/ crime stuff that makes up the bulk of the movie is well thought out and well directed.,2000-01-01,13098,Heat
,fresh,0047437,TIME Magazine,"This is never less than glittering entertainment, but somehow a certain measure of lead has found its way into the formula.",2009-02-03,18228,Sabrina
Variety Staff,fresh,0047437,Variety,"Script is long on glibly quipping dialog, dropped with a seemingly casual air, and broadly played situations. The splendid trouping delivers them style. Leavening the chuckles are tugs at the heart.",2008-10-18,18228,Sabrina
Dave Kehr,fresh,0047437,Chicago Reader,Wilder's tastelessness now seems his major artistic strength.,2007-08-15,18228,Sabrina
Derek Adams,fresh,0047437,Time Out,"It's a Cinderella story that gets turned on its head, a satire about breaking down class and emotional barriers, and a confrontation between New World callousness and Old World humanity.",2006-06-24,18228,Sabrina
James Berardinelli,fresh,0047437,ReelViews,"Hampered by an unimaginative script ... nevertheless manages to be a thoroughly charming, delightfully romantic variation of the Cinderella story.",2000-01-01,18228,Sabrina
Bosley Crowther,fresh,0047437,New York Times,"It is a story as light as a feather and as old as yesterday's news, as transparent as a society column item and as smug as a foreign-made car. But Mr. Wilder...has made it into a commentary as crisp as a screed in a smart magazine.",2000-01-01,18228,Sabrina
Joe Leydon,none,0112302,Variety,,2009-03-26,11639,Tom and Huck
Hal Hinson,none,0112302,Washington Post,,2000-01-01,11639,Tom and Huck
Stephen Holden,none,0112302,New York Times,,2000-01-01,11639,Tom and Huck
Susan Wloszczyna,rotten,0112302,USA Today,A joyless lump.,2000-01-01,11639,Tom and Huck
Peter Stack,none,0112302,San Francisco Chronicle,,2000-01-01,11639,Tom and Huck
Susan Stark,fresh,0112302,Detroit News,,2000-01-01,11639,Tom and Huck
Kevin McManus,none,0112302,Washington Post,,2000-01-01,11639,Tom and Huck
,rotten,0114576,Entertainment Weekly,,2010-12-27,15378,Sudden Death
Derek Elley,none,0114576,Variety,,2009-03-26,15378,Sudden Death
Geoff Andrew,fresh,0114576,Time Out,"Reuniting Hyams and Van Damme, director and star of Timecop, this spectacular nail-biter exploits their combined, if limited, abilities to the full.",2006-02-09,15378,Sudden Death
Stephen Holden,fresh,0114576,New York Times,"Offers above-average pyrotechnics, a body count that steadily mounts, and plenty of hand-to-hand combat.",2003-05-20,15378,Sudden Death
Mick LaSalle,fresh,0114576,San Francisco Chronicle,Sudden Death is one of the best action thrillers of 1995. It's also the film Jean-Claude Van Damme has been building up to for 10 years.,2002-06-18,15378,Sudden Death
Peter Travers,rotten,0114576,Rolling Stone,"Despite the elaborate stunts, go-go-go direction from Peter Hyams, plus butt-kicking and surprise goalie action from Van Damme, Death deserves the hockey-puck booby prize for...getting its jollies by putting kids in jeopardy.",2001-05-12,15378,Sudden Death
Kevin Thomas,fresh,0114576,Los Angeles Times,"A treat for Jean-Claude Van Damme fans, a superior action thriller loaded with jaw-dropping stunts and special effects, and strong in production values.",2001-02-13,15378,Sudden Death
Roger Ebert,fresh,0114576,Chicago Sun-Times,"Sudden Death isn't about common sense. It's about the manipulation of action and special-effects sequences to create a thriller effect, and at that it's pretty good.",2000-01-01,15378,Sudden Death
Richard Harrington,fresh,0114576,Washington Post,"Though the climactic duel atop the arena roof is patently absurd, it's also exciting as events go into sudden-death overtime, just like the game being played below.",2000-01-01,15378,Sudden Death
Desson Thomson,rotten,0114576,Washington Post,"Van Damme races against time, trying to thwart Boothe and defuse all the bombs. But in the hands of director Peter Hyams, these are just banal action-movie chores.",2000-01-01,15378,Sudden Death
Susan Stark,rotten,0114576,Detroit News,,2000-01-01,15378,Sudden Death
James Berardinelli,rotten,0114576,ReelViews,"About the best thing that can be said about this movie is that the action scenes, directed by Peter Hyams, are choreographed with flair. Unfortunately, the material connecting them is worthless.",2000-01-01,15378,Sudden Death
Anthony Lane,fresh,0113189,New Yorker,"Brosnan, however, looks set to stay. He'll never recapture the amused cool of the young Sean Connery, but he does overcome the handicap of looking like a humorless male model.",2012-10-23,12812,GoldenEye
Owen Gleiberman,rotten,0113189,Entertainment Weekly,"I don't know whether the Bond series has a future, but if Xenia Onatopp ever returns to try for world domination, he may finally get a battle worth fighting.",2008-10-13,12812,GoldenEye
Jonathan Rosenbaum,fresh,0113189,Chicago Reader,"There's something a mite pathetic about our culture still clinging to 007, but it's hard to deny that this is one of the most entertaining entries in the Bond cycle.",2008-10-13,12812,GoldenEye
Richard Schickel,rotten,0113189,TIME Magazine,"Richard Kiel, you are missed.",2008-10-13,12812,GoldenEye
Todd McCarthy,fresh,0113189,Variety,"Among the better of the 17 Bonds and, perhaps more important for today's audience, a dynamic action entry in its own right, this first 007 adventure in six years breathes fresh creative and commercial life into the 33-year-old series.",2008-10-02,12812,GoldenEye
,fresh,0113189,Time Out,Director Campbell keeps matters bowling along and even manages to recapture something of the look of the earlier films.,2006-02-09,12812,GoldenEye
Janet Maslin,rotten,0113189,New York Times,Suffers the blahs.,2003-05-20,12812,GoldenEye
Peter Stack,fresh,0113189,San Francisco Chronicle,"Supercharged with spectacular, thundering, brain-numbing fun.",2002-06-18,12812,GoldenEye
Rick Groen,rotten,0113189,Globe and Mail,"They have given James a new car here, but it's the same old vanity plate, the one that should read: Je Me Souviens.",2002-04-12,12812,GoldenEye
Kenneth Turan,rotten,0113189,Los Angeles Times,"A reasonable facsimile more than any kind of original, and it's hard not to feel a certain weariness while watching it unfold.",2001-02-13,12812,GoldenEye
Susan Wloszczyna,fresh,0113189,USA Today,It's BS -- Babes and Stunts -- and that's where GoldenEye excels.,2000-01-01,12812,GoldenEye
Hal Hinson,fresh,0113189,Washington Post,Directed with top-dollar proficiency (and some real wit).,2000-01-01,12812,GoldenEye
James Berardinelli,fresh,0113189,ReelViews,Perhaps the best entry in the series since The Spy Who Loved Me.,2000-01-01,12812,GoldenEye
Roger Ebert,fresh,0113189,Chicago Sun-Times,"Watching the film, I got caught up in the special effects and the neat stunts, and I observed with a certain satisfaction Bond's belated entry into a more modern world.",2000-01-01,12812,GoldenEye
Susan Stark,fresh,0113189,Detroit News,,2000-01-01,12812,GoldenEye
Geoff Andrew,fresh,0112346,Time Out,"Part romantic comedy, part Capra-corny political drama, this movie exudes so much sympathy, it sweats.",2006-06-24,10129,The American President
Janet Maslin,fresh,0112346,New York Times,"With great looks, a dandy supporting cast, a zinger-filled screenplay by Aaron Sorkin and Mr. Douglas twinkling merrily in the Oval Office, The American President is sunny enough to make the real Presidency pale by comparison.",2003-05-20,10129,The American President
Kenneth Turan,fresh,0112346,Los Angeles Times,Genial and entertaining if not notably inspired.,2001-02-13,10129,The American President
,fresh,0112346,Variety,Genial middlebrow fare that coasts a long way on the charm of its two stars.,2001-02-13,10129,The American President
Richard Corliss,fresh,0112346,TIME Magazine,As bustling and impassioned as the best Sturges and Capra movies.,2000-01-01,10129,The American President
James Berardinelli,rotten,0112346,ReelViews,"Neither bad nor unwatchable, The American President is nevertheless the second straight disappointment from director Rob Reiner.",2000-01-01,10129,The American President
Tom Keogh,fresh,0112346,Film.com,"You can't dislike this movie, but you won't be swept away by it either.",2000-01-01,10129,The American President
Sean Means,fresh,0112346,Film.com,The American President will make you laugh and make you smile. But it probably won't make you change your vote.,2000-01-01,10129,The American President
Susan Stark,fresh,0112346,Detroit News,"Apart from its too-obvious political bias, The American President has romance in its heart, smarts in abundance and class to spare.",2000-01-01,10129,The American President
Roger Ebert,fresh,0112346,Chicago Sun-Times,Great entertainment.,2000-01-01,10129,The American President
Desson Thomson,fresh,0112346,Washington Post,A well-modulated charmer.,2000-01-01,10129,The American President
Paula Nechak,fresh,0112346,Film.com,The American President becomes a pretty darn entertaining and affecting movie after its first simpering 20 minutes.,2000-01-01,10129,The American President
Rita Kempley,fresh,0112346,Washington Post,Frothy.,2000-01-01,10129,The American President
Edward Guthmann,fresh,0112346,San Francisco Chronicle,"'Capraesque' has inevitably been affixed to The American President, but that phrase, with its implications of facile hokum, doesn't do the film justice.",2000-01-01,10129,The American President
John Hartl,fresh,0112346,Film.com,Painless fun.,2000-01-01,10129,The American President
Mike Clark,fresh,0112346,USA Today,A super cast injects it with Teddy Roosevelt vitality.,2000-01-01,10129,The American President
Susan Rathke,rotten,0112346,Film.com,"When it comes right down to it, high office does not guarantee high comedy.",2000-01-01,10129,The American President
Owen Gleiberman,fresh,0112346,Entertainment Weekly,"The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas, wearing a fast-break smile in place of his usual frown, strikes a tender rapport with Bening...",1995-11-17,10129,The American President
Derek Elley,none,0112896,Variety,,2012-02-23,10445,Dracula - Dead and Loving It
Jonathan Rosenbaum,rotten,0112896,Chicago Reader,Either this is the lamest Mel Brooks comedy ever or it's too close to other contenders to make much difference.,2009-10-20,10445,Dracula - Dead and Loving It
Joe Leydon,rotten,0112896,Variety,"The only real sparks are set off by MacNicol as Renfield, the solicitor who develops a taste for flies and spiders after being bitten by Dracula.",2009-03-26,10445,Dracula - Dead and Loving It
,rotten,0112896,Time Out,"Brooks, as Van Helsing, is one of the more successful aspects, but he hasn't imbued in his stock company a similar ability to rise above their underwritten roles.",2006-01-26,10445,Dracula - Dead and Loving It
Janet Maslin,fresh,0112896,New York Times,Slight but amusing.,2003-05-20,10445,Dracula - Dead and Loving It
David Kronke,rotten,0112896,Los Angeles Times,"Not to venture forth some sort of radical idea, but aren't comedies supposed to have jokes?",2002-08-15,10445,Dracula - Dead and Loving It
James Berardinelli,rotten,0112896,ReelViews,It's a toothless parody that misses more often than it hits.,2000-01-01,10445,Dracula - Dead and Loving It
Susan Stark,rotten,0112896,Detroit News,,2000-01-01,10445,Dracula - Dead and Loving It
Hal Hinson,rotten,0112896,Washington Post,"This time, unfortunately, he's sucking on a dry vein.",2000-01-01,10445,Dracula - Dead and Loving It
Susan Wloszczyna,rotten,0112896,USA Today,"If any movie proves that Mel Brooks' genius for skewering creaky genres has evaporated, it's this anemic attempt to draw new blood from low-flying vampire high jinks.",2000-01-01,10445,Dracula - Dead and Loving It
Desson Thomson,rotten,0112896,Washington Post,"Dracula is anemic and mediocre, with only one or two moments to remind you of the former, funnier Brooks.",2000-01-01,10445,Dracula - Dead and Loving It
Mick LaSalle,fresh,0112896,San Francisco Chronicle,"Nielsen makes a dapper and calmly inept Dracula, but it's Brooks' irrepressible and oblivious Van Helsing who's the main attraction.",2000-01-01,10445,Dracula - Dead and Loving It
Brian Lowry,none,0112453,Variety,,2009-03-26,9562,Balto
,none,0112453,Time Out,,2006-01-26,9562,Balto
Stephen Holden,none,0112453,New York Times,,2003-05-20,9562,Balto
David Kronke,none,0112453,Los Angeles Times,,2002-08-15,9562,Balto
Peter Stack,none,0112453,San Francisco Chronicle,,2000-01-01,9562,Balto
Susan Wloszczyna,rotten,0112453,USA Today,"The love story is pure mush, not helped by the bland voice work done by Kevin Bacon as Balto and Bridget Fonda as dainty husky Jenna.",2000-01-01,9562,Balto
Kevin McManus,none,0112453,Washington Post,,2000-01-01,9562,Balto
Roger Ebert,fresh,0112453,Chicago Sun-Times,,2000-01-01,9562,Balto
James Berardinelli,rotten,0112453,ReelViews,,2000-01-01,9562,Balto
Susan Stark,rotten,0112453,Detroit News,,2000-01-01,9562,Balto
Rita Kempley,none,0112453,Washington Post,,2000-01-01,9562,Balto
Owen Gleiberman,fresh,0113987,Entertainment Weekly,,2011-09-07,16248,Nixon
Geoff Andrew,rotten,0113987,Time Out,"As wayward and self-regarding as its subject, the film long overstays its welcome.",2006-01-26,16248,Nixon
Janet Maslin,fresh,0113987,New York Times,"What it finally adds up to is a huge mixed bag of waxworks and daring, a film that is furiously ambitious even when it goes flat, and startling even when it settles for eerie, movie-of-the-week mimicry.",2003-05-20,16248,Nixon
,none,0113987,Globe and Mail,,2002-04-12,16248,Nixon
Peter Travers,none,0113987,Rolling Stone,,2001-05-12,16248,Nixon
Hal Hinson,fresh,0113987,Washington Post,"Without question, Nixon dwarfs everything in the American cinema since Schindler's List.",2001-02-16,16248,Nixon
Kenneth Turan,fresh,0113987,Los Angeles Times,"Nixon starts, like a horror movie, on a dark and stormy night, with the president prowling around a room of the White House like Dracula in his lair.",2001-02-13,16248,Nixon
Todd McCarthy,rotten,0113987,Variety,Nixon far overstays its welcome with an increasingly tedious final hour devoted largely to slogging through the minutiae of Watergate.,2001-02-13,16248,Nixon
James Berardinelli,fresh,0113987,ReelViews,"Factual or not, there's no denying that Nixon has moments when it is nothing short of compelling.",2000-01-01,16248,Nixon
John Hartl,rotten,0113987,Film.com,There's no compelling structure or viewpoint to hold the picture together.,2000-01-01,16248,Nixon
Mick LaSalle,rotten,0113987,San Francisco Chronicle,The problem here isn't accuracy. It's absurdity.,2000-01-01,16248,Nixon
Roger Ebert,fresh,0113987,Chicago Sun-Times,"Thoughts of Hamlet, Macbeth and King Lear come to mind; here, again, is a ruler destroyed by his fatal flaws. There's something almost majestic about the process: As Nixon goes down in this film, there is no gloating, but a watery sigh, as of a great ship",2000-01-01,16248,Nixon
Susan Stark,fresh,0113987,Detroit News,"Thoughtful, well-researched and carefully modulated, the film also marks director Oliver Stone's coming of age.",2000-01-01,16248,Nixon
Desson Thomson,fresh,0113987,Washington Post,You will not be bored.,2000-01-01,16248,Nixon
Stanley Kauffmann,fresh,0113987,The New Republic,The picture is a case study.,2000-01-01,16248,Nixon
Sean Means,fresh,0113987,Film.com,Casting Anthony Hopkins was a stroke of unexpected genius.,2000-01-01,16248,Nixon
Emily White,rotten,0113987,Film.com,"Stone's no Shakespeare, and neither are his screenwriters.",2000-01-01,16248,Nixon
Mike Clark,fresh,0113987,USA Today,Joan Allen goes beyond her chilling physical resemblance to Pat Nixon toward serious Oscar worthiness.,2000-01-01,16248,Nixon
Lyall Bush,rotten,0113987,Film.com,I never felt that I was seeing the darkness reaching out to the darkness as Nixon was once described.,2000-01-01,16248,Nixon
Richard Corliss,rotten,0113987,TIME Magazine,"Real life, if it's real Nixon, is more dramatic than an Oliver Stone movie.",2000-01-01,16248,Nixon
Todd McCarthy,rotten,0112760,Variety,"What seemed like a dubious proposition on paper plays even more dubiously onscreen, as ""Cutthroat Island"" strenuously but vainly attempts to revive the thrills of old-fashioned pirate pictures.",2009-03-26,10672,Cutthroat Island
Trevor Johnston,rotten,0112760,Time Out,"In this $90m revisionist swashbuckler, we get Geena Davis doing the all-action honours, and a hotchpotch script that seems to think pirate movies are so funny in themselves the need for more humour is superfluous.",2006-02-09,10672,Cutthroat Island
Janet Maslin,rotten,0112760,New York Times,"t's not possible to believe that Ms. Davis is the highly respected captain of a pirate ship, and it's not even fun to try.",2003-05-20,10672,Cutthroat Island
Peter Stack,rotten,0112760,San Francisco Chronicle,,2002-06-18,10672,Cutthroat Island
,none,0112760,Globe and Mail,,2002-04-12,10672,Cutthroat Island
Susan Wloszczyna,fresh,0112760,USA Today,"If the sight of half-naked, tattooed sailors firing cannons at each other shivers your timbers, climb aboard. Even passable pirate movies don't sail by every day.",2000-01-01,10672,Cutthroat Island
Desson Thomson,rotten,0112760,Washington Post,It takes a two-hour act of will to keep facing the screen during this moribund movie.,2000-01-01,10672,Cutthroat Island
Roger Ebert,fresh,0112760,Chicago Sun-Times,,2000-01-01,10672,Cutthroat Island
Susan Stark,fresh,0112760,Detroit News,,2000-01-01,10672,Cutthroat Island
James Berardinelli,rotten,0112760,ReelViews,,2000-01-01,10672,Cutthroat Island
,rotten,0112760,Entertainment Weekly,,1995-12-22,10672,Cutthroat Island
Owen Gleiberman,fresh,0112641,Entertainment Weekly,"[Stone] seems to be trying to enter a more passionate movie, where a neurotic gold digger could at least have a good time. By the end of Casino, for all its craftsmanly bravura, you may want to join her.",2010-01-25,13456,Casino
Richard Schickel,fresh,0112641,TIME Magazine,"So long as Casino stays focused on the excesses -- of language, of violence, of ambition -- in the life-styles of the rich and infamous, it remains a smart, knowing, if often repetitive, spectacle.",2010-01-25,13456,Casino
Jonathan Rosenbaum,rotten,0112641,Chicago Reader,Simultaneously quite watchable and passionless.,2010-01-25,13456,Casino
